name,price,location,station,area,plan,balcony,build,regist,hashdata,kanrihi,shuuzen,kaisu,soukosu
田端スカイハイツ,3180万円,東京都荒川区西尾久４,ＪＲ山手線「田端」歩14分,50.26m,2DK,バルコニー面積：15.78m,1980年11月,2023/01/04 18:46,f283754bb6134e973821a18c6113a6b18ff1ccb3a189f81d2cebbddb124486b9,4020円／月（委託(通勤)）,9840円／月,4階,423戸
木場サンハイツ,3190万円,東京都江東区枝川２,東京メトロ有楽町線「豊洲」歩14分,55m,3DK+S（納戸）,バルコニー面積：6.5m,1979年1月,2023/01/04 18:46,ca35a74c4aa81f2bd6aceccab2e89c6d1491fe33f437362a93f34d655e6cce3c,7600円／月（委託(通勤)）,9600円／月,2階,148戸
ライオンズマンション志村坂上,3280万円,東京都板橋区志村１-23-12,都営三田線「志村坂上」歩1分,50.69m,1LDK,バルコニー面積：3.45m,1983年5月,2023/01/04 18:46,efe8e2cec33fb4a866633bf494e3c57499d00b73ec550bc2473b7578dce220a3,1万6270円／月（委託(巡回)）,1万5920円／月,5階,37戸
ライオンズガーデン西新井大師弐番館403号室,3280万円,東京都足立区西新井５-7-14,日暮里・舎人ライナー「西新井大師西」歩5分,67.23m,3LDK,バルコニー面積：11.52m,1996年2月,2023/01/04 18:46,7bc2f8b3d15f5b72996a7a8cea558ad752be6aee43fc263515f984578651fb6f,1万4300円／月（委託(常駐)）,1万3780円／月,4階,49戸
亀有センチュリーマンション,3280万円,東京都足立区東和２,ＪＲ常磐線「亀有」歩9分,66.77m,3LDK,バルコニー面積：4.12m,1987年3月,2023/01/04 18:46,5a474ac0ab7c583d50ab3d4649ed4db78b119197a1068460cb5f27ecae70bb7f,2万1100円／月（委託(通勤)）,1万6700円／月,6階,29戸
シャルム新高島平,3280万円,東京都板橋区高島平７-12-1,都営三田線「新高島平」歩1分,66m,3LDK,バルコニー面積：7.2m,1983年4月,2023/01/04 18:46,c18d3e4f09287406f2e6cd14da6237ad9c766a14e02bc36a44ecc59832684e09,1万1400円／月（委託(巡回)）,1万1400円／月,3階,36戸
ライオンズマンション志村坂上,3280万円,東京都板橋区志村１,都営三田線「志村坂上」歩1分,50.69m,1LDK,バルコニー面積：3.45m,1983年5月,2023/01/04 18:46,efe8e2cec33fb4a866633bf494e3c57499d00b73ec550bc2473b7578dce220a3,1万6270円／月（委託(巡回)）,1万5920円／月,5階,37戸
ソアール大森南,3289万円,東京都大田区大森南１-14-10,京急本線「梅屋敷」歩13分,51.99m,2LDK,バルコニー面積：7.3m,1995年11月,2023/01/04 18:47,619cdae78d7f3b1e1d5e5dfe76d3d05e9ea259cbed1dea3a42ec60bbf9fc0b74,1万4850円／月（委託(通勤)）,8080円／月,5階,-
ソアール大森南,3289万円,東京都大田区大森南１,京急本線「梅屋敷」歩13分,51.99m,2LDK,バルコニー面積：7.3m,1995年11月,2023/01/04 18:47,619cdae78d7f3b1e1d5e5dfe76d3d05e9ea259cbed1dea3a42ec60bbf9fc0b74,1万4850円／月（委託(通勤)）,8080円／月,5階,19戸
コスモ町屋リバーシティ,3298万円,東京都荒川区町屋５,都電荒川線「東尾久三丁目」歩15分,62.83m,3LDK,バルコニー面積：12.83m,1991年11月,2023/01/04 18:47,09dd078d4617d6659832460633208971c436a0e5ecc194296ddc0548e74db329,5500円／月（委託(通勤)）,1万8000円／月,6階,108戸
